,id,week,match_header,home_team,home_wins,home_losses,home_ties,home_pts,home_pts_output,home_blk,home_blk_output,home_3pm,home_3pm_output,home_stl,home_stl_output,home_ast,home_ast_output,home_reb,home_reb_output,home_to,home_to_output,away_team,away_wins,away_losses,away_ties,away_pts,away_pts_output,away_blk,away_blk_output,away_3pm,away_3pm_output,away_stl,away_stl_output,away_ast,away_ast_output,away_reb,away_reb_output,away_to,away_to_output,match_output
0,decebce67dc8bcc7db6c4f055ef09a82479e8338182714b0c4a2f12652bff3a6,1,Box Score(Team(Dallas Sem Mavericks) at Team(Porto Alegre Sacis)),Team(Porto Alegre Sacis),1,5,1,470.0,LOSS,31.0,LOSS,50.0,LOSS,43.0,WIN,105.0,LOSS,205.0,LOSS,64.0,TIE,Team(Dallas Sem Mavericks),5,1,1,585.0,WIN,32.0,WIN,57.0,WIN,30.0,LOSS,129.0,WIN,232.0,WIN,64.0,TIE,AWAY
1,fbdb0ccbac9881694fd85ca453fc4e7564b34bea019e0f3e6c9913785c4a7566,1,Box Score(Team(Jamallers) at Team(Red Devils)),Team(Red Devils),3,4,0,702.0,WIN,23.0,WIN,79.0,LOSS,36.0,LOSS,99.0,LOSS,185.0,LOSS,60.0,WIN,Team(Jamallers),4,3,0,691.0,LOSS,21.0,LOSS,82.0,WIN,38.0,WIN,145.0,WIN,207.0,WIN,96.0,LOSS,AWAY
2,47e2b753871f0d6f626532425769a96340eda9ea85ad94b1988f11e50f86656a,1,Box Score(Team(Miami Raters) at Team(FlaLakers)),Team(FlaLakers),5,2,0,530.0,WIN,39.0,WIN,45.0,LOSS,36.0,WIN,114.0,WIN,231.0,WIN,90.0,LOSS,Team(Miami Raters),2,5,0,515.0,LOSS,17.0,LOSS,68.0,WIN,32.0,LOSS,96.0,LOSS,156.0,LOSS,59.0,WIN,HOME
3,4b30bb0eaed314c3db6830bfd561abcb40c1751e99ef1411d4c0e57c83490cf5,1,Box Score(Team(Botafogo Trentini) at Team(Pestana's)),Team(Pestana's),4,3,0,692.0,WIN,20.0,LOSS,55.0,LOSS,37.0,WIN,164.0,WIN,253.0,WIN,100.0,LOSS,Team(Botafogo Trentini),3,4,0,642.0,LOSS,24.0,WIN,57.0,WIN,26.0,LOSS,153.0,LOSS,238.0,LOSS,91.0,WIN,HOME
4,b069e7bc7bf8ef33e172517c42291b1b494136acce3153ef47ca14b102ce8d6f,1,Box Score(Team(Spartans) at Team(Team Squirtle)),Team(Team Squirtle),2,5,0,421.0,LOSS,21.0,WIN,52.0,LOSS,28.0,LOSS,72.0,LOSS,160.0,WIN,50.0,LOSS,Team(Spartans),5,2,0,433.0,WIN,15.0,LOSS,59.0,WIN,39.0,WIN,112.0,WIN,138.0,LOSS,47.0,WIN,AWAY
5,017312bf81a77ec6949a6626797f2468c4e6c85b48a86d3993cbd269cdc06f3b,2,Box Score(Team(Miami Raters) at Team(Jamallers)),Team(Jamallers),3,4,0,767.0,WIN,21.0,LOSS,58.0,LOSS,51.0,WIN,173.0,LOSS,281.0,WIN,97.0,LOSS,Team(Miami Raters),4,3,0,755.0,LOSS,27.0,WIN,91.0,WIN,43.0,LOSS,196.0,WIN,239.0,LOSS,89.0,WIN,AWAY
6,d3bca01760bda955360fa1726925fe250e777e138624bd83b4b609f989cbd806,2,Box Score(Team(Porto Alegre Sacis) at Team(Botafogo Trentini)),Team(Botafogo Trentini),4,3,0,767.0,WIN,24.0,LOSS,84.0,WIN,35.0,LOSS,217.0,WIN,324.0,WIN,108.0,LOSS,Team(Porto Alegre Sacis),3,4,0,585.0,LOSS,38.0,WIN,49.0,LOSS,51.0,WIN,111.0,LOSS,243.0,LOSS,60.0,WIN,HOME
7,f91bbbae5b85e775a7d2bc5a14bf8f659ba8ade13572f9b667b6d33590566490,2,Box Score(Team(Dallas Sem Mavericks) at Team(Spartans)),Team(Spartans),3,4,0,629.0,LOSS,23.0,LOSS,75.0,WIN,49.0,LOSS,183.0,WIN,178.0,LOSS,61.0,WIN,Team(Dallas Sem Mavericks),4,3,0,750.0,WIN,31.0,WIN,68.0,LOSS,58.0,WIN,181.0,LOSS,337.0,WIN,97.0,LOSS,AWAY
8,35e87311004d9c819b12f68d497144d49a925b289d75eac747d6ff1785edeca9,2,Box Score(Team(Red Devils) at Team(Pestana's)),Team(Pestana's),6,1,0,937.0,WIN,28.0,WIN,109.0,WIN,60.0,WIN,207.0,WIN,325.0,WIN,114.0,LOSS,Team(Red Devils),1,6,0,700.0,LOSS,22.0,LOSS,77.0,LOSS,40.0,LOSS,140.0,LOSS,223.0,LOSS,75.0,WIN,HOME
9,c586c00f8ff3779abf554c56368f5827f1f796cad27a179b9452abcd5f54c731,2,Box Score(Team(FlaLakers) at Team(Team Squirtle)),Team(Team Squirtle),2,5,0,484.0,LOSS,15.0,LOSS,74.0,WIN,25.0,LOSS,118.0,LOSS,186.0,LOSS,48.0,WIN,Team(FlaLakers),5,2,0,745.0,WIN,27.0,WIN,68.0,LOSS,49.0,WIN,169.0,WIN,286.0,WIN,103.0,LOSS,AWAY
